timestamp,gender,age,income,overall_experience,service_attribute_evaluation,usage_context,pain_points,emotional_loyalty_future,combined_text,clean_text,word_count,vader_compound,sentiment_label,textblob_polarity,textblob_subjectivity,dominant_topic,cluster,return_intent
2026-05-03 08:14:22,Male,39,"₹80,000–₹1,20,000",I remember subscribing to Coursera since many of my friends recommended it. Eventually I decided the cost was not worth the value I was getting.,"If I break it down: the service quality was okay overall. Pricing was the main concern for me. The app design was simple enough to use daily. I didn't interact much with support, but innovation on the platform felt limited.",At first it became part of my daily routine. Later my usage dropped because work became busy.,The turning point came after noticing some consistent problems. The platform sometimes felt repetitive and predictable. That gradually influenced my decision to cancel the subscription.,"From an emotional perspective, initially I was quite satisfied. A better value plan could definitely bring me back.","I remember subscribing to Coursera since many of my friends recommended it. Eventually I decided the cost was not worth the value I was getting. If I break it down: the service quality was okay overall. Pricing was the main concern for me. The app design was simple enough to use daily. I didn't interact much with support, but innovation on the platform felt limited. At first it became part of my daily routine. Later my usage dropped because work became busy. The turning point came after noticing some consistent problems. The platform sometimes felt repetitive and predictable. That gradually influenced my decision to cancel the subscription. From an emotional perspective, initially I was quite satisfied. A better value plan could definitely bring me back.",remember subscribing coursera friend recommended eventually decided cost worth value getting break quality okay pricing main concern design simple daily interact innovation limited daily routine later usage dropped work busy turning point came noticing consistent problem repetitive predictable gradually influenced decision emotional perspective initially satisfied better value definitely bring,49,0.8272,Positive,0.08915343915343917,0.3002314814814815,5,3,Likely_Return
2026-05-03 08:57:31,Male,34,"₹80,000–₹1,20,000",At one point I was actively using a cloud storage plan as part of a trial offer. Gradually I lost interest and cancelled it.,"Regarding quality, it was decent but not outstanding. Pricing felt slightly high from an Indian perspective. The interface itself was fairly easy to navigate, although I noticed occasional lag. Customer support was polite but slow, and I expected more new features over time.",In the beginning I used it quite frequently. But gradually I stopped opening the app as often.,The problems were not huge but they kept adding up. Paying monthly for something I hardly used started bothering me. That gradually influenced my decision to cancel the subscription.,"Reflecting on the experience, initially I was quite satisfied. If the company improves pricing or features I might consider returning.","At one point I was actively using a cloud storage plan as part of a trial offer. Gradually I lost interest and cancelled it. Regarding quality, it was decent but not outstanding. Pricing felt slightly high from an Indian perspective. The interface itself was fairly easy to navigate, although I noticed occasional lag. Customer support was polite but slow, and I expected more new features over time. In the beginning I used it quite frequently. But gradually I stopped opening the app as often. The problems were not huge but they kept adding up. Paying monthly for something I hardly used started bothering me. That gradually influenced my decision to cancel the subscription. Reflecting on the experience, initially I was quite satisfied. If the company improves pricing or features I might consider returning.",point actively cloud storage trial offer gradually lost regarding quality decent outstanding pricing slightly high indian perspective interface fairly easy navigate noticed occasional lag polite slow expected new feature time beginning frequently gradually stopped opening problem huge kept adding paying hardly started bothering gradually influenced decision reflecting initially satisfied improves pricing feature consider returning,54,-0.5481,Negative,0.048090909090909094,0.5424141414141415,4,0,Likely_Return
2026-05-03 09:26:44,Non-binary,23,"₹25,000–₹50,000",I remember subscribing to a cloud storage plan because I thought it would become part of my routine. Gradually I lost interest and cancelled it.,"If I break it down: the service quality was okay overall. Pricing was the main concern for me. The app design was simple enough to use daily. I didn't interact much with support, but innovation on the platform felt limited.",During the first few weeks I was quite active on the platform. Then slowly I realised I was barely using it.,The turning point came after noticing some consistent problems. Paying monthly for something I hardly used started bothering me. That gradually influenced my decision to cancel the subscription.,"From an emotional perspective, in the beginning I felt it was a smart decision. Right now I don't plan to return, but that could change if things improve.","I remember subscribing to a cloud storage plan because I thought it would become part of my routine. Gradually I lost interest and cancelled it. If I break it down: the service quality was okay overall. Pricing was the main concern for me. The app design was simple enough to use daily. I didn't interact much with support, but innovation on the platform felt limited. During the first few weeks I was quite active on the platform. Then slowly I realised I was barely using it. The turning point came after noticing some consistent problems. Paying monthly for something I hardly used started bothering me. That gradually influenced my decision to cancel the subscription. From an emotional perspective, in the beginning I felt it was a smart decision. Right now I don't plan to return, but that could change if things improve.",remember subscribing cloud storage thought routine gradually lost break quality okay pricing main concern design simple daily interact innovation limited week active slowly realised barely turning point came noticing consistent problem paying hardly started bothering gradually influenced decision emotional perspective beginning smart decision right return change improve,47,0.8144,Positive,0.04024644945697577,0.34083124477861326,2,3,Unlikely_Return
2026-05-03 09:51:08,Female,28,"Above ₹1,20,000",The subscription I cancelled recently was a meditation app mainly out of curiosity. Over time I realised I wasn't using it enough to justify paying every month.,"From my point of view, the platform worked fine technically. However, the monthly price didn't always feel justified. Navigation inside the app was smooth, but updates and new features were quite rare.",During the first few weeks I was quite active on the platform. Then slowly I realised I was barely using it.,The problems were not huge but they kept adding up. The platform sometimes felt repetitive and predictable. That gradually influenced my decision to cancel the subscription.,"If I think about how I felt during the subscription, initially I was quite satisfied. If they make meaningful improvements I might subscribe again.","The subscription I cancelled recently was a meditation app mainly out of curiosity. Over time I realised I wasn't using it enough to justify paying every month. From my point of view, the platform worked fine technically. However, the monthly price didn't always feel justified. Navigation inside the app was smooth, but updates and new features were quite rare. During the first few weeks I was quite active on the platform. Then slowly I realised I was barely using it. The problems were not huge but they kept adding up. The platform sometimes felt repetitive and predictable. That gradually influenced my decision to cancel the subscription. If I think about how I felt during the subscription, initially I was quite satisfied. If they make meaningful improvements I might subscribe again.",recently meditation mainly curiosity time realised justify paying point view worked fine technically price justified navigation inside smooth update new feature rare week active slowly realised barely problem huge kept adding repetitive predictable gradually influenced decision think initially satisfied meaningful improvement subscribe,42,0.5118,Positive,0.09181818181818181,0.45606060606060606,3,2,Likely_Return
2026-05-03 10:33:17,Female,61,"Above ₹1,20,000",My experience with Coursera as part of a trial offer. After a few months it started feeling unnecessary.,"From my point of view, the platform worked fine technically. However, the monthly price didn't always feel justified. Navigation inside the app was smooth, but updates and new features were quite rare.",During the first few weeks I was quite active on the platform. But gradually I stopped opening the app as often.,"Thinking about it now, several issues kept repeating. The service did not evolve much over time. That gradually influenced my decision to cancel the subscription.","Emotionally speaking, in the beginning I felt it was a smart decision. If the company improves pricing or features I might consider returning.","My experience with Coursera as part of a trial offer. After a few months it started feeling unnecessary. From my point of view, the platform worked fine technically. However, the monthly price didn't always feel justified. Navigation inside the app was smooth, but updates and new features were quite rare. During the first few weeks I was quite active on the platform. But gradually I stopped opening the app as often. Thinking about it now, several issues kept repeating. The service did not evolve much over time. That gradually influenced my decision to cancel the subscription. Emotionally speaking, in the beginning I felt it was a smart decision. If the company improves pricing or features I might consider returning.",coursera trial offer month started feeling unnecessary point view worked fine technically price justified navigation inside smooth update new feature rare week active gradually stopped opening thinking issue kept repeating evolve time gradually influenced decision emotionally speaking beginning smart decision improves pricing feature consider returning,45,0.8131,Positive,0.09226551226551226,0.4587157287157287,3,2,Likely_Return
2026-05-03 11:12:54,Female,18,"₹50,000–₹80,000",I had signed up for an online learning platform because it looked useful at the time. Eventually I decided the cost was not worth the value I was getting.,"Regarding quality, it was decent but not outstanding. Pricing felt slightly high from an Indian perspective. The interface itself was fairly easy to navigate, although I noticed occasional lag. Customer support was polite but slow, and I expected more new features over time.",My usage pattern changed a lot over time. But gradually I stopped opening the app as often.,What pushed me closer to cancelling were a few recurring annoyances. The platform sometimes felt repetitive and predictable. That gradually influenced my decision to cancel the subscription.,"From an emotional perspective, I was optimistic about the service. A better value plan could definitely bring me back.","I had signed up for an online learning platform because it looked useful at the time. Eventually I decided the cost was not worth the value I was getting. Regarding quality, it was decent but not outstanding. Pricing felt slightly high from an Indian perspective. The interface itself was fairly easy to navigate, although I noticed occasional lag. Customer support was polite but slow, and I expected more new features over time. My usage pattern changed a lot over time. But gradually I stopped opening the app as often. What pushed me closer to cancelling were a few recurring annoyances. The platform sometimes felt repetitive and predictable. That gradually influenced my decision to cancel the subscription. From an emotional perspective, I was optimistic about the service. A better value plan could definitely bring me back.",signed online learning looked useful time eventually decided cost worth value getting regarding quality decent outstanding pricing slightly high indian perspective interface fairly easy navigate noticed occasional lag polite slow expected new feature time usage pattern changed lot time gradually stopped opening pushed closer recurring annoyance repetitive predictable gradually influenced decision emotional perspective optimistic better value definitely bring,58,-0.358,Negative,0.04146464646464646,0.41080808080808073,1,0,Likely_Return
2026-05-03 11:45:39,Male,22,"₹80,000–₹1,20,000",At one point I was actively using Cult Fit as part of a trial offer. In the end I simply stopped seeing the benefit of continuing.,"If I break it down: the service quality was okay overall. Pricing was the main concern for me. The app design was simple enough to use daily. I didn't interact much with support, but innovation on the platform felt limited.",At first it became part of my daily routine. Then slowly I realised I was barely using it.,What pushed me closer to cancelling were a few recurring annoyances. The lack of fresh content became noticeable. That gradually influenced my decision to cancel the subscription.,"Reflecting on the experience, in the beginning I felt it was a smart decision. Right now I don't plan to return, but that could change if things improve.","At one point I was actively using Cult Fit as part of a trial offer. In the end I simply stopped seeing the benefit of continuing. If I break it down: the service quality was okay overall. Pricing was the main concern for me. The app design was simple enough to use daily. I didn't interact much with support, but innovation on the platform felt limited. At first it became part of my daily routine. Then slowly I realised I was barely using it. What pushed me closer to cancelling were a few recurring annoyances. The lack of fresh content became noticeable. That gradually influenced my decision to cancel the subscription. Reflecting on the experience, in the beginning I felt it was a smart decision. Right now I don't plan to return, but that could change if things improve.",point actively cult fit trial offer end simply stopped seeing benefit continuing break quality okay pricing main concern design simple daily interact innovation limited daily routine slowly realised barely pushed closer recurring annoyance lack fresh noticeable gradually influenced decision reflecting beginning smart decision right return change improve,47,0.743,Positive,0.07531746031746031,0.3145634920634921,3,3,Unlikely_Return
2026-05-03 12:18:06,Male,48,"Above ₹1,20,000",For a while I depended on YouTube Premium as part of a trial offer. Over time I realised I wasn't using it enough to justify paying every month.,"The service itself worked reasonably well. My main observation was that the value didn't always match the subscription price. Usability was good, though the platform could definitely introduce more improvements.",During the first few weeks I was quite active on the platform. But gradually I stopped opening the app as often.,"Thinking about it now, several issues kept repeating. Occasional bugs made the experience less enjoyable. That gradually influenced my decision to cancel the subscription.","Reflecting on the experience, in the beginning I felt it was a smart decision. A better value plan could definitely bring me back.","For a while I depended on YouTube Premium as part of a trial offer. Over time I realised I wasn't using it enough to justify paying every month. The service itself worked reasonably well. My main observation was that the value didn't always match the subscription price. Usability was good, though the platform could definitely introduce more improvements. During the first few weeks I was quite active on the platform. But gradually I stopped opening the app as often. Thinking about it now, several issues kept repeating. Occasional bugs made the experience less enjoyable. That gradually influenced my decision to cancel the subscription. Reflecting on the experience, in the beginning I felt it was a smart decision. A better value plan could definitely bring me back.",depended youtube premium trial offer time realised justify paying worked reasonably main observation value match price usability good definitely introduce improvement week active gradually stopped opening thinking issue kept repeating occasional bug enjoyable gradually influenced decision reflecting beginning smart decision better value definitely bring,44,0.9659,Positive,0.1488795518207283,0.38242296918767504,3,1,Likely_Return
2026-05-03 12:59:27,Prefer not to say,23,"Below ₹25,000",For a while I depended on a news subscription as part of a trial offer. In the end I simply stopped seeing the benefit of continuing.,"If I break it down: the service quality was okay overall. Pricing was the main concern for me. The app design was simple enough to use daily. I didn't interact much with support, but innovation on the platform felt limited.",During the first few weeks I was quite active on the platform. But gradually I stopped opening the app as often.,What pushed me closer to cancelling were a few recurring annoyances. Paying monthly for something I hardly used started bothering me. That gradually influenced my decision to cancel the subscription.,Personally I would describe the journey as initially I was quite satisfied. A better value plan could definitely bring me back.,"For a while I depended on a news subscription as part of a trial offer. In the end I simply stopped seeing the benefit of continuing. If I break it down: the service quality was okay overall. Pricing was the main concern for me. The app design was simple enough to use daily. I didn't interact much with support, but innovation on the platform felt limited. During the first few weeks I was quite active on the platform. But gradually I stopped opening the app as often. What pushed me closer to cancelling were a few recurring annoyances. Paying monthly for something I hardly used started bothering me. That gradually influenced my decision to cancel the subscription. Personally I would describe the journey as initially I was quite satisfied. A better value plan could definitely bring me back.",depended news trial offer end simply stopped seeing benefit continuing break quality okay pricing main concern design simple daily interact innovation limited week active gradually stopped opening pushed closer recurring annoyance paying hardly started bothering gradually influenced decision personally journey initially satisfied better value definitely bring,46,0.9116,Positive,0.050699168556311416,0.3168745275888133,2,3,Likely_Return
2026-05-03 13:24:52,Male,57,"₹50,000–₹80,000",When I first tried YouTube Premium as part of a trial offer. In the end I simply stopped seeing the benefit of continuing.,"The service itself worked reasonably well. My main observation was that the value didn't always match the subscription price. Usability was good, though the platform could definitely introduce more improvements.",At first it became part of my daily routine. Eventually weeks would pass without me using it.,"Thinking about it now, several issues kept repeating. The lack of fresh content became noticeable. That gradually influenced my decision to cancel the subscription.","Emotionally speaking, initially I was quite satisfied. Right now I don't plan to return, but that could change if things improve.","When I first tried YouTube Premium as part of a trial offer. In the end I simply stopped seeing the benefit of continuing. The service itself worked reasonably well. My main observation was that the value didn't always match the subscription price. Usability was good, though the platform could definitely introduce more improvements. At first it became part of my daily routine. Eventually weeks would pass without me using it. Thinking about it now, several issues kept repeating. The lack of fresh content became noticeable. That gradually influenced my decision to cancel the subscription. Emotionally speaking, initially I was quite satisfied. Right now I don't plan to return, but that could change if things improve.",tried youtube premium trial offer end simply stopped seeing benefit continuing worked reasonably main observation value match price usability good definitely introduce improvement daily routine eventually week pas thinking issue kept repeating lack fresh noticeable gradually influenced decision emotionally speaking initially satisfied right return change improve,46,0.8955,Positive,0.21015873015873013,0.41619047619047617,3,1,Unlikely_Return
